constraint_id,maximum,"constraint_type",minimum,generic_land_use_type_id,plan_type_id
658,25,"units_per_acre",8,1,1085
659,0.2,"units_per_acre",0,1,1088
660,0.1,"units_per_acre",0,1,1089
661,0.06,"units_per_acre",0,1,1090
662,0.2,"units_per_acre",0,1,1091
663,1.56056,"units_per_acre",0,1,1092
664,0.2,"units_per_acre",0,1,1093
665,1.56056,"units_per_acre",0,1,1096
666,9.66145,"units_per_acre",0,1,1098
667,3,"units_per_acre",1,1,1099
668,0.4,"units_per_acre",0,1,1100
669,0.2,"units_per_acre",0,1,1101
670,4,"units_per_acre",4,1,1102
671,0.2,"units_per_acre",0,1,1103
672,30,"units_per_acre",12,1,1105
673,3,"units_per_acre",0,1,1106
674,0.2,"units_per_acre",0,1,1107
675,0.5,"units_per_acre",0,1,1112
676,8.71,"units_per_acre",0,1,1116
677,21.78,"units_per_acre",0,1,1117
678,26,"units_per_acre",0,1,1118
679,17.42,"units_per_acre",0,1,1120
680,9.66145,"units_per_acre",0,1,1121
681,29.4736,"units_per_acre",0,1,1122
682,10,"units_per_acre",0,1,1123
683,9.56425,"units_per_acre",0,1,1124
684,9.56425,"units_per_acre",0,1,1125
685,9.66145,"units_per_acre",0,1,1127
686,14,"units_per_acre",11,1,1129
687,5,"units_per_acre",4,1,1130
688,10,"units_per_acre",6,1,1131
689,0.1,"units_per_acre",0,1,1132
690,22,"units_per_acre",0,1,1134
691,22,"units_per_acre",0,1,1138
692,22,"units_per_acre",0,1,1139
693,10,"units_per_acre",4,1,1140
694,12,"units_per_acre",8,1,1142
695,22,"units_per_acre",0,1,1143
696,14,"units_per_acre",8,1,1147
697,22,"units_per_acre",14,1,1148
698,22,"units_per_acre",16,1,1149
699,22,"units_per_acre",8,1,1150
700,8,"units_per_acre",0,1,1151
701,6,"units_per_acre",0,1,1152
702,5,"units_per_acre",0,1,1153
703,4,"units_per_acre",0,1,1154
704,1,"units_per_acre",0,1,1155
705,22,"units_per_acre",8,1,1156
706,30,"units_per_acre",0,1,1158
707,35,"units_per_acre",0,1,1159
708,34.848,"units_per_acre",0,1,1164
710,17.424,"units_per_acre",0,1,1173
711,21.78,"units_per_acre",0,1,1174
712,1.25,"units_per_acre",0,1,1185
713,15,"units_per_acre",0,1,1186
714,22.5,"units_per_acre",0,1,1187
715,4,"units_per_acre",0,1,1188
716,8,"units_per_acre",0,1,1190
717,10,"units_per_acre",0,1,1191
718,12,"units_per_acre",0,1,1192
719,16,"units_per_acre",0,1,1193
720,0.25,"units_per_acre",0,1,1194
721,5,"units_per_acre",0,1,1195
722,30,"units_per_acre",0,1,1200
723,0.1,"units_per_acre",0,1,1202
724,30,"units_per_acre",0,1,1203
725,25,"units_per_acre",0,1,1204
